127.0.0.1 - - [22/Mar/2020:16:26:41 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [22/Mar/2020:16:26:43 +0900] "GET /biz/login.jsp HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [22/Mar/2020:16:26:43 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [22/Mar/2020:16:26:51 +0900] "POST /biz/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:16:26:51 +0900] "GET /biz/login.jsp HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [22/Mar/2020:16:26:55 +0900] "POST /biz/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:16:26:55 +0900] "GET /biz/login.jsp HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [22/Mar/2020:16:27:17 +0900] "POST /biz/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:16:27:17 +0900] "GET /biz/getBoardList.do HTTP/1.1" 500 1245
0:0:0:0:0:0:0:1 - - [22/Mar/2020:16:27:41 +0900] "POST /biz/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:16:27:41 +0900] "GET /biz/login.jsp HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [22/Mar/2020:16:27:51 +0900] "POST /biz/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:16:27:51 +0900] "GET /biz/getBoardList.do HTTP/1.1" 500 1245
